"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "JSON", "XML", "Markdown", "comment", "blank", "total"
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Common/HorrizontalSlider.tsx", "TypeScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 3, 9, 87
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Common/PostSlider.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 0, 0, 0, 2, 6, 82
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Common/SubSectionSlider.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 9, 8, 90
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Common/Toggle.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 1, 4, 31
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/Sidebar.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 2, 6, 50
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/SidebarLink.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 1, 7, 30
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/event/eventBuilder/Box.tsx", "TypeScript JSX", 0, 163, 0, 0, 0, 0, 0, 0, 14, 22, 199
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/event/eventBuilder/BuilderForm.tsx", "TypeScript JSX", 0, 115, 0, 0, 0, 0, 0, 0, 15, 14, 144
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/event/eventBuilder/EventBuilder.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 2, 5, 20
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/event/eventFinish/EventFinish.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 0, 0, 0, 10, 12, 87
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/event/eventInfo/EventForm.tsx", "TypeScript JSX", 0, 258, 0, 0, 0, 0, 0, 0, 31, 18, 307
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/event/eventInfo/EventInfo.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 3, 8, 26
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/eventDetails/EventDetails.tsx", "TypeScript JSX", 0, 178, 0, 0, 0, 0, 0, 0, 24, 27, 229
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/my-profile/DeletePostModal.tsx", "TypeScript JSX", 0, 89, 0, 0, 0, 0, 0, 0, 9, 12, 110
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/my-profile/MyEvents.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 0, 0, 0, 10, 12, 117
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/my-profile/MyPost.tsx", "TypeScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 3, 8, 86
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/my-profile/ProfileDetails.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/my-profile/UserDetails.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 8, 13, 62
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/post/CreatePost.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/post/PostForm.tsx", "TypeScript JSX", 0, 129, 0, 0, 0, 0, 0, 0, 25, 12, 166
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/wallet/Balance.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 0, 0, 0, 6, 8, 74
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/wallet/Buttons.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 3, 8, 41
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/wallet/RechargeModal.tsx", "TypeScript JSX", 0, 114, 0, 0, 0, 0, 0, 0, 13, 14, 141
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/wallet/Transaction.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 2, 4, 19
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/wallet/TransationTabs.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 1, 6, 50
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Dashboard/wallet/Wallet.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 4, 6, 25
"/Users/vector/Desktop/rent-a-buddy-client/src/components/HomePage/AvailableEvents.tsx", "TypeScript JSX", 0, 92, 0, 0, 0, 0, 0, 0, 17, 16, 125
"/Users/vector/Desktop/rent-a-buddy-client/src/components/HomePage/EventOverlayCard.tsx", "TypeScript JSX", 0, 120, 0, 0, 0, 0, 0, 0, 18, 19, 157
"/Users/vector/Desktop/rent-a-buddy-client/src/components/HomePage/RatingStars.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 2, 4, 20
"/Users/vector/Desktop/rent-a-buddy-client/src/components/Modal/OrderModal.tsx", "TypeScript JSX", 0, 431, 0, 0, 0, 0, 0, 0, 35, 43, 509
