Date : 2025-04-27 03:37:01
Directory : /Users/vector/Desktop/rent-a-buddy-client
Total : 90 files,  11749 codes, 604 comments, 794 blanks, all 13147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/vector/Desktop/rent-a-buddy-client/src/components/HomePage/EventOverlayCard.tsx                 | TypeScript JSX     |        118 |         18 |         19 |        155 |
| /Users/vector/Desktop/rent-a-buddy-client/src/components/HomePage/RatingStars.tsx                      | TypeScript JSX     |         14 |          2 |          4 |         20 |
| /Users/vector/Desktop/rent-a-buddy-client/src/components/Modal/OrderModal.tsx                          | TypeScript JSX     |        349 |         30 |         29 |        408 |
| /Users/vector/Desktop/rent-a-buddy-client/src/components/Navbar/Navbar.tsx                             | TypeScript JSX     |        178 |         24 |         29 |        231 |
| /Users/vector/Desktop/rent-a-buddy-client/src/components/Providers.tsx                                 | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /Users/vector/Desktop/rent-a-buddy-client/src/components/ui/Input.tsx                                  | TypeScript JSX     |         38 |          3 |          6 |         47 |
| /Users/vector/Desktop/rent-a-buddy-client/src/components/ui/Label.tsx                                  | TypeScript JSX     |          9 |          0 |          3 |         12 |
| /Users/vector/Desktop/rent-a-buddy-client/src/components/ui/button.tsx                                 | TypeScript JSX     |         54 |          0 |          6 |         60 |
| /Users/vector/Desktop/rent-a-buddy-client/src/components/ui/card.tsx                                   | TypeScript JSX     |         83 |          0 |         10 |         93 |
| /Users/vector/Desktop/rent-a-buddy-client/src/components/ui/carousel.tsx                               | TypeScript JSX     |        232 |          0 |         30 |        262 |
| /Users/vector/Desktop/rent-a-buddy-client/src/data/dashboard.tsx                                       | TypeScript JSX     |         37 |          0 |          3 |         40 |
| /Users/vector/Desktop/rent-a-buddy-client/src/data/filter.ts                                           | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/vector/Desktop/rent-a-buddy-client/src/lib/utils.ts                                             | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/vector/Desktop/rent-a-buddy-client/src/loading/FullScreen.tsx                                   | TypeScript JSX     |         62 |          5 |          6 |         73 |
| /Users/vector/Desktop/rent-a-buddy-client/src/loading/Loading1.tsx                                     | TypeScript JSX     |         62 |          5 |          6 |         73 |
| /Users/vector/Desktop/rent-a-buddy-client/src/loading/PageLoadingSpinner.tsx                           | TypeScript JSX     |         56 |          4 |          5 |         65 |
| /Users/vector/Desktop/rent-a-buddy-client/src/redux/provider.tsx                                       | TypeScript JSX     |          7 |          0 |          3 |         10 |
| /Users/vector/Desktop/rent-a-buddy-client/src/redux/slice/auth.slice.ts                                | TypeScript         |          0 |         13 |          9 |         22 |
| /Users/vector/Desktop/rent-a-buddy-client/src/redux/slice/event.slice.ts                               | TypeScript         |         28 |          4 |          6 |         38 |
| /Users/vector/Desktop/rent-a-buddy-client/src/redux/store.ts                                           | TypeScript         |          9 |          1 |          4 |         14 |
| /Users/vector/Desktop/rent-a-buddy-client/src/service/api.ts                                           | TypeScript         |         57 |         13 |         12 |         82 |
| /Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/category.api.ts                          | TypeScript         |         11 |          2 |          2 |         15 |
| /Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/chat.api.ts                              | TypeScript         |         94 |          9 |          6 |        109 |
| /Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/event.api.ts                             | TypeScript         |        159 |         23 |         15 |        197 |
| /Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/payment.api.ts                           | TypeScript         |        136 |         13 |         17 |        166 |
| /Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/user.api.ts                              | TypeScript         |         40 |          4 |          7 |         51 |
| /Users/vector/Desktop/rent-a-buddy-client/src/service/apiCall/wallet.api.ts                            | TypeScript         |         14 |          2 |          3 |         19 |
| /Users/vector/Desktop/rent-a-buddy-client/src/service/apiConnector.ts                                  | TypeScript         |         12 |         11 |          5 |         28 |
| /Users/vector/Desktop/rent-a-buddy-client/src/styles/globals.css                                       | CSS                |         66 |         29 |         13 |        108 |
| /Users/vector/Desktop/rent-a-buddy-client/src/types/next-auth.d.ts                                     | TypeScript         |         18 |          1 |          5 |         24 |
| /Users/vector/Desktop/rent-a-buddy-client/src/utills/nextauthoption.utills.ts                          | TypeScript         |         52 |          4 |         14 |         70 |
| /Users/vector/Desktop/rent-a-buddy-client/tsconfig.json                                                | JSON with Comments |         27 |          0 |          1 |         28 |
| Total                                                                                                  |                    |     11,749 |        604 |        794 |     13,147 |
+--------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
